,Experiment,Level,algorithm,SSM
0,Exp_8_400,0,Natural,0.7571745528553087
1,Exp_8_400,1,Natural,0.25981512029431
2,Exp_8_400,2,Natural,0.1074277646693641
0,Exp_23_400,0,Natural,0.8324298370931534
1,Exp_23_400,1,Natural,0.3477356513311976
2,Exp_23_400,2,Natural,0.234123902265201
0,Exp_30_400,0,Natural,0.6942280833189208
1,Exp_30_400,1,Natural,0.4815256874013681
2,Exp_30_400,2,Natural,0.2046176662730655
0,Exp_14_400,0,Natural,0.8519790615285642
1,Exp_14_400,1,Natural,0.0012973675907738
2,Exp_14_400,2,Natural,0.029507278254353
0,Exp_34_500,0,Natural,0.7871739638182446
1,Exp_34_500,1,Natural,0.2312493896207421
2,Exp_34_500,2,Natural,0.2602011087242488
0,Exp_33_500,0,Natural,0.7875590485909293
1,Exp_33_500,1,Natural,0.0003060732119265
2,Exp_33_500,2,Natural,0.1156262413513846
0,Exp_31_500,0,Natural,0.8243171229140953
1,Exp_31_500,1,Natural,0.0
2,Exp_31_500,2,Natural,0.0
0,Exp_32_500,0,Natural,0.7628311782304672
1,Exp_32_500,1,Natural,0.0432774187586681
2,Exp_32_500,2,Natural,0.0562272536296342
0,Exp_20_500,0,Natural,0.7651056357535941
1,Exp_20_500,1,Natural,0.0958147431861006
2,Exp_20_500,2,Natural,0.088341750141182
0,Exp_6_500,0,Natural,0.7957709568544168
1,Exp_6_500,1,Natural,0.1576949742979603
2,Exp_6_500,2,Natural,0.0670064976104146
0,Exp_26_500,0,Natural,0.8331186946690887
1,Exp_26_500,1,Natural,7.65779175337951e-05
2,Exp_26_500,2,Natural,0.0753432780930306
0,Exp_19_500,0,Natural,0.7737648838833401
1,Exp_19_500,1,Natural,0.3956519224755666
2,Exp_19_500,2,Natural,0.3148445477258336
0,Exp_24_500,0,Natural,0.8645234608970789
1,Exp_24_500,1,Natural,0.0112707764870653
2,Exp_24_500,2,Natural,0.1699963101269928
0,Exp_16_500,0,Natural,0.7818912857611018
1,Exp_16_500,1,Natural,0.813581012051499
2,Exp_16_500,2,Natural,0.4848702972437027
0,Exp_29_500,0,Natural,0.821148892057013
1,Exp_29_500,1,Natural,9.319591174855586e-05
2,Exp_29_500,2,Natural,0.0148776000847027
0,Exp_12_500,0,Natural,0.7724207626699681
1,Exp_12_500,1,Natural,9.419982140804724e-05
2,Exp_12_500,2,Natural,0.0422730142583627
0,Exp_2_500,0,Natural,0.8465928465258599
1,Exp_2_500,1,Natural,0.5107618196752572
2,Exp_2_500,2,Natural,0.2156621618976336
0,Exp_9_500,0,Natural,0.8090189176165549
1,Exp_9_500,1,Natural,0.0247643424742307
2,Exp_9_500,2,Natural,4.484696488982615e-05
0,Exp_5_500,0,Natural,0.8679038527999773
1,Exp_5_500,1,Natural,0.39873308820455
2,Exp_5_500,2,Natural,0.1014534791852722
0,Exp_10_500,0,Natural,0.8218651549279916
1,Exp_10_500,1,Natural,5.599950779482152e-06
2,Exp_10_500,2,Natural,0.001410860335893
0,Exp_3_500,0,Natural,0.78000450978765
1,Exp_3_500,1,Natural,0.7474562766818122
2,Exp_3_500,2,Natural,0.3303018852715276
0,Exp_17_500,0,Natural,0.830457625467992
1,Exp_17_500,1,Natural,0.5690768847803889
2,Exp_17_500,2,Natural,0.3354738953488215
0,Exp_18_500,0,Natural,0.7958078017079437
1,Exp_18_500,1,Natural,0.5161796525352917
2,Exp_18_500,2,Natural,0.567110734355485
0,Exp_0_500,0,Natural,0.7535643112210404
1,Exp_0_500,1,Natural,0.0005531439878335
2,Exp_0_500,2,Natural,0.0488985183821913
0,Exp_7_500,0,Natural,0.7587494805151139
1,Exp_7_500,1,Natural,0.0188325475899756
2,Exp_7_500,2,Natural,0.1807577907700028
0,Exp_28_500,0,Natural,0.7131302051882045
1,Exp_28_500,1,Natural,0.1163730883378108
2,Exp_28_500,2,Natural,0.0
0,Exp_27_500,0,Natural,0.8116205773533329
1,Exp_27_500,1,Natural,0.3973983150961843
2,Exp_27_500,2,Natural,0.2441028532462637
0,Exp_13_500,0,Natural,0.7784874063266797
1,Exp_13_500,1,Natural,0.3001987869739628
2,Exp_13_500,2,Natural,0.1570546620376169
0,Exp_1_500,0,Natural,0.8124894428436927
1,Exp_1_500,1,Natural,0.1116387712215839
2,Exp_1_500,2,Natural,0.067733979984243
0,Exp_25_500,0,Natural,0.7583139789731539
1,Exp_25_500,1,Natural,0.0
2,Exp_25_500,2,Natural,0.0335176097362705
0,Exp_11_500,0,Natural,0.744766885266217
1,Exp_11_500,1,Natural,0.1189821557092802
2,Exp_11_500,2,Natural,0.2230488680077782
0,Exp_4_500,0,Natural,0.8173622781745069
1,Exp_4_500,1,Natural,0.4820829088252058
